latitude,longitude,brightness
19.599,-92.291,309.4
19.022,-98.62,304.2
20.515,-97.481,307.2
21.928,-98.553,303.1
21.582,-101.038,303.6
24.817,-97.954,306.5
24.826,-97.956,314.1
25.083,-98.513,303.3
26.886,-101.459,302.2
26.886,-101.451,305.7
28.87,-95.42,323.4
31.737,-101.797,301.9
30.497,-109.635,307.9
30.503,-109.644,300.8
44.736,90.256,317
21.205,73.955,319.7
18.814,78.793,317
18.671,79.348,317.5
18.47,80.406,320.3
18.618,79.333,315.7
18.454,80.451,318.4
18.784,78.021,319.4
18.426,80.456,317.7
18.71,78.284,318.8
18.117,80.734,319.7
17.298,81.669,315.4
17.053,81.651,318.6
16.336,80.735,316.3
16.229,80.83,316.2
16.711,77.125,322.8
16.37,77.385,318.8
16.039,78.176,317.9
16.005,78.164,326.7
15.168,79.859,319
14.302,78.486,317.3
13.225,77.389,311.6
13.223,77.399,313.5
28.804,79.7,316.2
28.322,80.873,309.1
27.209,83.556,319.9
26.796,83.655,313.8
26.784,83.609,312.5
26.857,82.789,309.5
26.744,81.999,310.5
25.786,78.422,312
25.785,78.435,311.7
24.759,82.977,324.1
24.757,82.987,314.1
24.664,83.291,314.4
23.783,86.344,315.2
23.775,86.39,317.5
23.783,86.338,314.2
23.773,86.399,316.6
24.14,82.565,312.6
23.168,82.338,312.5
23.338,79.996,313.3
23.33,79.793,316.8
23.329,79.803,312.4
23.298,79.819,319.3
22.834,82.818,310.5
22.895,78.573,313
22.059,83.725,313.5
21.82,83.252,311.6
21.436,82.19,314.2
28.877,118.789,303.8
28.875,118.778,311.7
39.028,117.485,304.9
39.756,118.094,300.7
39.754,118.083,303
40.355,109.668,309.4
40.349,109.644,313
40.355,109.661,317.9
40.349,109.637,301.5
40.612,109.733,310.9
40.62,106.917,311.5
40.611,106.882,333.5
40.619,106.909,319.8
40.611,106.875,322.3
43.642,125.146,301.3
43.71,125.95,321.7
43.782,124.451,312.1
43.779,124.405,324.5
45.943,119.144,314.1
-23.824,-70.316,303
-28.576,-66.128,303
-28.578,-66.134,301
-28.59,-66.12,304
-29.02,-67.605,313.4
-29.061,-67.59,312.6
-29.064,-67.563,311.2
-29.267,-66.463,312.6
-29.258,-66.467,307.9
-29.269,-66.469,300.5
-30.613,-67.668,304.2
-30.766,-66.596,303.9
-30.768,-66.581,313.8
-30.769,-66.566,315.4
-30.771,-66.549,322
-30.999,-64.401,311.5
-31.001,-64.377,326.4
-30.999,-64.385,325.6
-30.728,-67.551,301.9
-30.803,-67.511,318.3
-30.805,-67.497,305.1
-31.135,-65.302,304.8
-31.136,-65.283,305
-31.167,-65.346,325.9
-31.169,-65.326,311.9
-31.179,-65.348,336.6
-31.181,-65.328,310.3
-31.183,-65.309,308.5
-31.185,-65.289,316.6
-31.184,-65.354,314.6
-31.186,-65.334,316
-31.19,-65.295,316.6
-9.493,-65.596,302.8
-9.495,-65.587,311.6
-15.78,-71.86,310.8
-15.782,-71.848,306.4
-17.492,-71.355,311.2
-22.315,-68.876,313.8
9.976,-63.18,304.5
9.861,-63.34,311.6
9.86,-63.331,310.5
9.852,-63.341,306.5
9.851,-63.332,307.1
10.065,-64.887,311.4
10.062,-64.866,310.8
10.06,-64.856,308.3
9.742,-63.476,309.2
9.741,-63.467,326.5
9.731,-63.459,311
9.704,-63.526,305.4
9.678,-63.473,320.6
9.659,-63.533,331.1
9.658,-63.524,322.6
9.654,-63.562,342
9.654,-63.629,351.4
9.653,-63.619,362.8
9.646,-63.573,320.1
9.645,-63.563,318.8
9.644,-63.554,313.7
9.622,-63.725,352.3
9.621,-63.716,327.4
9.391,-64.543,322.8
9.28,-64.04,310.4
9.229,-64.054,306.6
9.185,-64.864,316.5
8.729,-62.904,304.9
8.664,-62.773,307
8.663,-62.764,307.8
8.655,-62.774,312.9
8.693,-63.155,315.8
8.691,-63.146,312.5
8.636,-62.768,310.1
8.592,-63.166,320.1
8.591,-63.157,303.7
6.351,-71.86,300.7
5.615,-69.8,300.3
-2.977,105.492,316.2
1.373,104.173,316.6
1.593,103.397,318.7
2.028,100.132,317.3
3.026,101.445,322.1
3.183,98.999,316
3.979,102.632,318.8
4.378,103.429,320.8
12.281,93.851,310.9
16.221,100.352,311.3
16.288,100.431,315.7
16.372,100.442,321.3
16.741,97.364,320.2
16.676,96.698,325.6
16.674,96.432,318.1
16.676,96.438,316.4
17.032,98.553,313.6
16.706,96.433,320.9
16.915,96.65,318.1
16.908,96.606,319.2
16.999,96.719,324.7
16.991,96.608,321.8
17.008,96.65,322
17.244,96.665,316.9
18.349,100.24,316.9
18.235,96.638,319.8
19.96,99.976,313.3
20.479,99.475,310.1
21.45,100.115,309.3
21.629,100.224,313.3
21.9,100.049,319.4
22.522,98.876,328.1
22.52,98.867,345
23.114,100.885,307.2
